score	file_path	record_id	name	n_ingredients	reasons
20	bacterial/gam_broth_with_1_lactose.yaml	CultureMech:003042	GAM BROTH WITH 1% LACTOSE	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/gam_semisolid.yaml	CultureMech:003195	GAM SEMISOLID	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/gifu_anaerobic_medium_gam_broth.yaml	CultureMech:009239	Gifu anaerobic medium (GAM) broth	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/glycerol_asparagine_agar_isp_5_with_10_nacl.yaml	CultureMech:002767	GLYCEROL-ASPARAGINE AGAR (ISP-5) WITH 10% NaCl	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/gm17.yaml	CultureMech:009478	GM17	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/half_strength_heart_infusion_agar.yaml	CultureMech:002240	HALF STRENGTH HEART INFUSION AGAR	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/hgam.yaml	CultureMech:009551	HGAM	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/hm_buffer.yaml	CultureMech:009705	HM Buffer	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/horikoshi_i_medium_with_2_nacl.yaml	CultureMech:002765	HORIKOSHI-I MEDIUM WITH 2% NaCl	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/horikoshi_i_medium_with_3_5_nacl.yaml	CultureMech:002211	HORIKOSHI-I MEDIUM WITH 3.5% NaCl	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/horikoshi_i_medium_with_5_nacl.yaml	CultureMech:002762	HORIKOSHI-I MEDIUM WITH 5% NaCl	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/inorganic_salts_starch_agar_isp_4_with_10_nacl.yaml	CultureMech:002712	INORGANIC SALTS-STARCH AGAR (ISP-4) WITH 10% NaCl	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/inorganic_salts_starch_agar_isp_4_with_15_nacl.yaml	CultureMech:003209	INORGANIC SALTS-STARCH AGAR (ISP-4) WITH 15% NaCl	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/inorganic_salts_starch_agar_isp_4_with_5_nacl.yaml	CultureMech:002328	INORGANIC SALTS-STARCH AGAR (ISP-4) WITH 5% NaCl	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/ird_marine_clostridia_medium_2.yaml	CultureMech:010411	IRD Marine Clostridia Medium-2	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/isp_7_medium.yaml	CultureMech:001099	ISP 7 MEDIUM	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/jcm_medium_no_247.yaml	CultureMech:002608	JCM MEDIUM No. 247	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/jcm_medium_no_248.yaml	CultureMech:002609	JCM MEDIUM No. 248	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/jcm_medium_no_69.yaml	CultureMech:003045	JCM MEDIUM No. 69	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/m17_broth_containing_glucose.yaml	CultureMech:009066	M17 broth (containing glucose)	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/m17_broth_containing_lactose.yaml	CultureMech:009067	M17 broth (containing lactose)	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/m17_medium_difco_containing_0_5_glucose_gm17.yaml	CultureMech:009417	M17 medium (Difco) containing 0.5% glucose (GM17)	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/m17_medium_supplemented_with_20_g_l_of_lactose.yaml	CultureMech:008819	M17 medium supplemented with 20 g/L of lactose	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/m_05.yaml	CultureMech:000910	M 05	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/marine_agar_2216.yaml	CultureMech:007629	Marine Agar 2216	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/marine_agar_2216_with_10_nacl.yaml	CultureMech:010162	Marine Agar 2216 With 10% NaCl	1	only 1 ingredient(s); no pH and no temperature
20	bacterial/marine_agar_2216_with_1_nacl.yaml	CultureMech:010393	Marine Agar 2216 With 1% NaCl	1	only 1 ingredient(s); no pH and no temperature
20	bacterial/marine_agar_2216_with_1_starch.yaml	CultureMech:007776	Marine Agar 2216 With 1% Starch	1	only 1 ingredient(s); no pH and no temperature
20	bacterial/marine_agar_2216_with_3_1_nacl.yaml	CultureMech:009731	Marine Agar 2216 With  3.1% NaCl	1	only 1 ingredient(s); no pH and no temperature
20	bacterial/marine_agar_2216_with_5_nacl.yaml	CultureMech:010161	Marine Agar 2216 with 5% NaCl	1	only 1 ingredient(s); no pH and no temperature
20	bacterial/marine_agar_2216_with_8_0_nacl.yaml	CultureMech:007591	Marine Agar 2216 With  8.0% NaCl	1	only 1 ingredient(s); no pH and no temperature
20	bacterial/marine_agar_2216_with_8_nacl.yaml	CultureMech:009926	Marine Agar 2216 With 8% NaCl	1	only 1 ingredient(s); no pH and no temperature
20	bacterial/marine_agar_with_1_tween_20.yaml	CultureMech:010205	Marine Agar With 1% Tween 20	1	only 1 ingredient(s); no pH and no temperature
20	bacterial/marine_broth_2216.yaml	CultureMech:008094	Marine Broth 2216	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/marine_broth_2216_with_pyruvate.yaml	CultureMech:007874	Marine Broth 2216 With Pyruvate	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/marine_caulobacter_medium.yaml	CultureMech:006089	MARINE CAULOBACTER medium	3	no ingredient is grounded
20	bacterial/marine_chloroflexi_medium.yaml	CultureMech:007806	Marine Chloroflexi Medium	1	only 1 ingredient(s); no pH and no temperature
20	bacterial/mb_medium_with_formate.yaml	CultureMech:003033	MB MEDIUM WITH FORMATE	1	only 1 ingredient(s); no pH and no temperature
20	bacterial/me_agar.yaml	CultureMech:002616	ME AGAR	1	only 1 ingredient(s); no pH and no temperature
20	bacterial/middlebrook_7h10_agar_with_oadc_enrichment.yaml	CultureMech:002743	MIDDLEBROOK 7H10 AGAR WITH OADC ENRICHMENT	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/modified_gam_agar.yaml	CultureMech:003001	MODIFIED GAM AGAR	1	only 1 ingredient(s); no pH and no temperature
20	bacterial/modified_gam_broth.yaml	CultureMech:009699	Modified GAM Broth	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/modified_gam_broth_glucose.yaml	CultureMech:008759	Modified GAM broth + glucose	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/mrs_fructose_medium.yaml	CultureMech:003199	MRS FRUCTOSE MEDIUM	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/mrs_medium_containing_erythromycin.yaml	CultureMech:009064	MRS medium (containing erythromycin)	2	only 2 ingredient(s); no pH and no temperature
20	bacterial/mrs_supplemented_with_0_05_cysteine.yaml	CultureMech:009343	MRS supplemented with 0.05% cysteine	2	only 2 ingredient(s); no pH and no temperature
