finding	location	file_path	record_id	name	value	unit	detail
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/cdm_lp.yaml	CultureMech:007240		0.00036	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/deferrisoma_paleochrorii_medium.yaml	CultureMech:002236		10	G_PER_L	preferred_term is empty; the name is not recoverable from this record
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/bacterial/mh_ocm_medium.yaml	CultureMech:009202	Trace Mineral Supplement, Catalog No. MD-TMS	10	G_PER_L	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/mic_cit_herriott_et_al.yaml	CultureMech:007183		0.00603	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/mic_herriott_et_al.yaml	CultureMech:007182		0.00603	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/mma_klein_et_al.yaml	CultureMech:007181		0.00603	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/mmb_klein_et_al.yaml	CultureMech:007179		0.00603	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/zahorchak_et_al_medium_10_mm_exogenous_atp_10_mm_mg_2.yaml	CultureMech:007411		10.0	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/zahorchak_et_al_medium_10_mm_exogenous_atp_1_25_mm_mg_2.yaml	CultureMech:007408		10.0	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/zahorchak_et_al_medium_10_mm_exogenous_atp_20_mm_mg_2.yaml	CultureMech:007412		10.0	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/zahorchak_et_al_medium_10_mm_exogenous_atp_2_5_mm_mg_2.yaml	CultureMech:007409		10.0	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/zahorchak_et_al_medium_10_mm_exogenous_atp_5_0_mm_mg_2.yaml	CultureMech:007410		10.0	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/zahorchak_et_al_medium_1_25_mm_exogenous_atp_10_mm_mg_2.yaml	CultureMech:007394		1.25	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/zahorchak_et_al_medium_1_25_mm_exogenous_atp_1_25_mm_mg_2.yaml	CultureMech:007376		1.25	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/zahorchak_et_al_medium_1_25_mm_exogenous_atp_20_mm_mg_2.yaml	CultureMech:007396		1.25	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
EMPTY_INGREDIENT_NAME	ingredients	data/normalized_yaml/bacterial/zahorchak_et_al_medium_1_25_mm_exogenous_atp_2_5_mm_mg_2.yaml	CultureMech:007387		1.25	MILLIMOLAR	preferred_term is empty; the name is not recoverable from this record
