file	preferred_term	from_chebi	to_chebi
data/normalized_yaml/bacterial/mediadive_4786_Main_sol_J827.yaml	L-Cysteine HCl x H2O	CHEBI:76209	CHEBI:91248
data/normalized_yaml/bacterial/mediadive_4786_Main_sol_J827.yaml	Na2S x 9 H2O	CHEBI:32588	CHEBI:76209
data/normalized_yaml/bacterial/mediadive_4787_Vitamin_solution.yaml	Biotin	CHEBI:15956	CHEBI:15956
data/normalized_yaml/bacterial/mediadive_4787_Vitamin_solution.yaml	Riboflavin	CHEBI:17015	CHEBI:17015
data/normalized_yaml/bacterial/mediadive_4787_Vitamin_solution.yaml	Lipoic acid	CHEBI:16494	CHEBI:16494
data/normalized_yaml/bacterial/mediadive_4787_Vitamin_solution.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4789_Main_sol_J828.yaml	CaCl2 x 2 H2O	CHEBI:176843	CHEBI:86158
data/normalized_yaml/bacterial/mediadive_4789_Main_sol_J828.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4790_Chelated_iron_solution.yaml	FeCl3 x 6 H2O	CHEBI:131527	CHEBI:86254
data/normalized_yaml/bacterial/mediadive_4790_Chelated_iron_solution.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4791_Phosphate_buffer_solution.yaml	KH2PO4	CHEBI:31206	CHEBI:63036
data/normalized_yaml/bacterial/mediadive_4791_Phosphate_buffer_solution.yaml	Na2HPO4 x 2 H2O	CHEBI:34683	CHEBI:34683
data/normalized_yaml/bacterial/mediadive_4791_Phosphate_buffer_solution.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4793_Main_sol_J830.yaml	KH2PO4	CHEBI:31206	CHEBI:63036
data/normalized_yaml/bacterial/mediadive_4793_Main_sol_J830.yaml	CaCl2 x 2 H2O	CHEBI:176843	CHEBI:86158
data/normalized_yaml/bacterial/mediadive_4793_Main_sol_J830.yaml	Na2S2O3 x 5 H2O	CHEBI:6636	CHEBI:32150
data/normalized_yaml/bacterial/mediadive_4793_Main_sol_J830.yaml	L-Cysteine HCl x H2O	CHEBI:76209	CHEBI:91248
data/normalized_yaml/bacterial/mediadive_4793_Main_sol_J830.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4793_Main_sol_J830.yaml	Na2S x 9 H2O	CHEBI:32588	CHEBI:76209
data/normalized_yaml/bacterial/mediadive_4794_Main_sol_J831.yaml	KH2PO4	CHEBI:31206	CHEBI:63036
data/normalized_yaml/bacterial/mediadive_4794_Main_sol_J831.yaml	CaCl2 x 2 H2O	CHEBI:176843	CHEBI:86158
data/normalized_yaml/bacterial/mediadive_4794_Main_sol_J831.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4794_Main_sol_J831.yaml	Na2S x 9 H2O	CHEBI:32588	CHEBI:76209
data/normalized_yaml/bacterial/mediadive_4795_Main_sol_J832.yaml	R2A agar	CHEBI:26710	CHEBI:2509
data/normalized_yaml/bacterial/mediadive_4796_Main_sol_J833.yaml	CaCl2 x 2 H2O	CHEBI:176843	CHEBI:86158
data/normalized_yaml/bacterial/mediadive_4796_Main_sol_J833.yaml	KH2PO4	CHEBI:31206	CHEBI:63036
data/normalized_yaml/bacterial/mediadive_4796_Main_sol_J833.yaml	Sodium acetate x 3 H2O	CHEBI:2509	CHEBI:32954
data/normalized_yaml/bacterial/mediadive_4796_Main_sol_J833.yaml	L-Cysteine HCl x H2O	CHEBI:76209	CHEBI:91248
data/normalized_yaml/bacterial/mediadive_4796_Main_sol_J833.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4796_Main_sol_J833.yaml	Ampicillin	CHEBI:28971	CHEBI:28971
data/normalized_yaml/bacterial/mediadive_4797_Titanium_citrate_solution.yaml	Trisodium citrate x 2 H2O	CHEBI:59640	CHEBI:53258
data/normalized_yaml/bacterial/mediadive_4797_Titanium_citrate_solution.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_479_220_CASO_AGAR_Merck_105458.yaml	Agar	CHEBI:2509	CHEBI:2509
data/normalized_yaml/bacterial/mediadive_479_220_CASO_AGAR_Merck_105458.yaml	Distilled water	CHEBI:6636	CHEBI:15377
