filename	categories	classification	evidence	ids	ingredient_counts
yeast_extract_malt_extract_agar_isp_2_with_5_nacl.yaml	bacterial,fungal	DIFFERENT	1/2 ingredient rows shared; sizes [1, 2]	CultureMech:008596,CultureMech:010509	1,2
yeast_extract_malt_extract_agar_isp_2_with_5_nacl_ph_9_0.yaml	bacterial,fungal	DIFFERENT	1/2 ingredient rows shared; sizes [1, 2]	CultureMech:009920,CultureMech:010532	1,2
yeast_extract_malt_extract_agar_isp_2_with_artificial_seawater.yaml	bacterial,fungal	DIFFERENT	2/8 ingredient rows shared; sizes [5, 5]	CultureMech:008374,CultureMech:010536	5,5
yeast_extract_malt_extract_agar_ph_5_5.yaml	bacterial,fungal	DIFFERENT	0/4 ingredient rows shared; sizes [0, 4]	CultureMech:007789,CultureMech:010494	0,4
yeast_extract_malt_extract_agar_ph_6_0.yaml	bacterial,fungal	DIFFERENT	0/4 ingredient rows shared; sizes [0, 4]	CultureMech:010021,CultureMech:010541	0,4
yeast_extract_malt_extract_agar_ph_9_0.yaml	bacterial,fungal	DIFFERENT	0/4 ingredient rows shared; sizes [0, 4]	CultureMech:009921,CultureMech:010533	0,4
yeast_extract_mannitol_agar_medium.yaml	bacterial,fungal	EQUIVALENT	same after normalizing ingredient labels and ignoring water	CultureMech:009012,CultureMech:010513	8,7
yeast_extract_medium_ye.yaml	bacterial,fungal	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:009002,CultureMech:010512	1,1
yeast_extract_mineral_medium.yaml	bacterial,fungal	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:004662,CultureMech:010467	6,6
yeast_extract_skim_milk_medium.yaml	bacterial,fungal	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:004197,CultureMech:010459	3,3
yeast_extract_starch_agar_50_marine_water.yaml	bacterial,fungal	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:004028,CultureMech:010444	4,4
yeast_extract_starch_agar_nbrc_med_266.yaml	bacterial,fungal	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:004070,CultureMech:010447	3,3
yeast_krainskys_agar.yaml	bacterial,fungal	DIFFERENT	4/6 ingredient rows shared; sizes [5, 5]	CultureMech:008032,CultureMech:010538	6,5
yeast_peptone_succinate_medium.yaml	bacterial,fungal	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:006959,CultureMech:010484	4,4
yeast_starch_agar_a.yaml	bacterial,fungal	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:003539,CultureMech:010441	3,3
yeast_starch_agar_b.yaml	bacterial,fungal	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:006234,CultureMech:010473	5,5
yel.yaml	bacterial,algae	DIFFERENT	0/3 ingredient rows shared; sizes [1, 2]	CultureMech:000314,CultureMech:000144	2,1
zm_10.yaml	bacterial,algae	DIFFERENT	7/30 ingredient rows shared; sizes [18, 19]	CultureMech:000315,CultureMech:000146	19,18
