filename	categories	classification	evidence	ids	ingredient_counts
marine_agar_2216_with_10_nacl.yaml	bacterial,specialized	DIFFERENT	1/2 ingredient rows shared; sizes [1, 2]	CultureMech:010162,CultureMech:015418	1,2
marine_agar_2216_with_1_nacl.yaml	bacterial,specialized	DIFFERENT	1/2 ingredient rows shared; sizes [1, 2]	CultureMech:010393,CultureMech:015426	1,2
marine_agar_2216_with_1_starch.yaml	bacterial,specialized	DIFFERENT	1/2 ingredient rows shared; sizes [1, 2]	CultureMech:007776,CultureMech:015387	1,2
marine_agar_2216_with_3_1_nacl.yaml	bacterial,specialized	DIFFERENT	1/2 ingredient rows shared; sizes [1, 2]	CultureMech:009731,CultureMech:015400	1,2
marine_agar_2216_with_5_nacl.yaml	bacterial,specialized	DIFFERENT	1/2 ingredient rows shared; sizes [1, 2]	CultureMech:010161,CultureMech:015417	1,2
marine_agar_2216_with_8_0_nacl.yaml	bacterial,specialized	DIFFERENT	1/2 ingredient rows shared; sizes [1, 2]	CultureMech:007591,CultureMech:015372	1,2
marine_agar_2216_with_8_nacl.yaml	bacterial,specialized	DIFFERENT	1/2 ingredient rows shared; sizes [1, 2]	CultureMech:009926,CultureMech:015410	1,2
marine_agar_with_1_tween_20.yaml	bacterial,specialized	DIFFERENT	1/2 ingredient rows shared; sizes [1, 2]	CultureMech:010205,CultureMech:015421	1,2
marine_ammonium_mineral_salts.yaml	bacterial,specialized	DIFFERENT	27/28 ingredient rows shared; sizes [27, 28]	CultureMech:004069,CultureMech:015337	28,27
marine_aob_medium_a.yaml	bacterial,specialized	DIFFERENT	0/32 ingredient rows shared; sizes [16, 16]	CultureMech:007643,CultureMech:015376	17,16
marine_aob_medium_b.yaml	bacterial,specialized	DIFFERENT	0/32 ingredient rows shared; sizes [16, 16]	CultureMech:007644,CultureMech:015377	17,16
marine_broth_2216.yaml	bacterial,specialized	DIFFERENT	0/16 ingredient rows shared; sizes [1, 15]	CultureMech:008094,CultureMech:015554	2,15
