label	current_chebi	reason
(-)-chloramphenicol	CHEBI:17548	ambiguous_or_unresolved
(-)-quinic acid	CHEBI:17521	ambiguous_or_unresolved
2,4-dichlorophenoxyacetic acid	CHEBI:165232	ambiguous_or_unresolved
2-methylbutyric acid	CHEBI:37070	ambiguous_or_unresolved
2-nitrophenol	CHEBI:16260	ambiguous_or_unresolved
3,4,5-trimethoxycinnamic acid	CHEBI:228320	ambiguous_or_unresolved
3-chloroacrylic acid	CHEBI:19982	ambiguous_or_unresolved
84 g/l nahco3 solution	CHEBI:32588	ambiguous_or_unresolved
activated carbon	CHEBI:86158	ambiguous_or_unresolved
air-dried garden soil	CHEBI:29864	ambiguous_or_unresolved
alpha-ketoglutamate	CHEBI:46756	ambiguous_or_unresolved
aminoacids	CHEBI:33709	ambiguous_or_unresolved
ampicillin sodium salt	CHEBI:3311	ambiguous_or_unresolved
arginine	CHEBI:16467	ambiguous_or_unresolved
asialofetuin	CHEBI:16643	ambiguous_or_unresolved
b12	CHEBI:34887	ambiguous_or_unresolved
bacto bitone	CHEBI:28017	ambiguous_or_unresolved
bacto panton	CHEBI:2509	ambiguous_or_unresolved
baker's yeast	CHEBI:86158	ambiguous_or_unresolved
basal mineral nacl medium	CHEBI:50144	ambiguous_or_unresolved
basal salts solution	CHEBI:29377	ambiguous_or_unresolved
beef	CHEBI:2509	ambiguous_or_unresolved
beef brain powder	CHEBI:47869	ambiguous_or_unresolved
betaine hydrochloride	CHEBI:131527	ambiguous_or_unresolved
bovine albumin	CHEBI:26710	ambiguous_or_unresolved
bovine horn meal	CHEBI:32139	ambiguous_or_unresolved
bovine serum	CHEBI:42758	ambiguous_or_unresolved
bovine serum albumin	CHEBI:6636	ambiguous_or_unresolved
butyl vinyl ether	CHEBI:64734	ambiguous_or_unresolved
ca(no3)2 x 6 h2o	CHEBI:31440	ambiguous_or_unresolved
calcium malate	CHEBI:31206	ambiguous_or_unresolved
ce(no3)3 x 6 h2o	CHEBI:63940	ambiguous_or_unresolved
cellobiose or cellulose mn 300	CHEBI:2509	ambiguous_or_unresolved
cereal leaves	CHEBI:32588	ambiguous_or_unresolved
citric acid	CHEBI:53258	ambiguous_or_unresolved
cmrl 1066	CHEBI:32142	ambiguous_or_unresolved
cobalamine	CHEBI:17015	ambiguous_or_unresolved
columbia agar base	CHEBI:42758	ambiguous_or_unresolved
cooked meat medium	CHEBI:42758	ambiguous_or_unresolved
corn meal	CHEBI:2509	ambiguous_or_unresolved
corn steep liquor	CHEBI:85248	ambiguous_or_unresolved
corn steep powder	CHEBI:2509	ambiguous_or_unresolved
cow manure	CHEBI:2509	ambiguous_or_unresolved
cow's milk	CHEBI:75456	ambiguous_or_unresolved
crk(so4)2 x 12 h2o	CHEBI:26710	ambiguous_or_unresolved
cystein-hcl x 2 h2o	CHEBI:26710	ambiguous_or_unresolved
czapek-dox liquid medium	CHEBI:131527	ambiguous_or_unresolved
d(+)-glucose	CHEBI:17634	ambiguous_or_unresolved
d-arabinose	CHEBI:17108	ambiguous_or_unresolved
d-fructose	CHEBI:15824	ambiguous_or_unresolved
d-glucose	CHEBI:17234	ambiguous_or_unresolved
d-mannose	CHEBI:16024	ambiguous_or_unresolved
dehydrated rcm medium	CHEBI:29377	ambiguous_or_unresolved
dehydrated wilkins-chalgren medium	CHEBI:42758	ambiguous_or_unresolved
deionized water	CHEBI:86249	ambiguous_or_unresolved
dextrose	CHEBI:17634	ambiguous_or_unresolved
diced potato	CHEBI:42758	ambiguous_or_unresolved
dichloran-glycerol-agar base	CHEBI:32312	ambiguous_or_unresolved
dithiothreitol	CHEBI:18320	ambiguous_or_unresolved
dl-2-methylbutyric acid	CHEBI:37070	ambiguous_or_unresolved
dl-dithiothreitol	CHEBI:18320	ambiguous_or_unresolved
dl-tryptophan	CHEBI:16296	ambiguous_or_unresolved
dry cow-manure	CHEBI:2509	ambiguous_or_unresolved
dung extract	CHEBI:2509	ambiguous_or_unresolved
ebios	CHEBI:42758	ambiguous_or_unresolved
ethanolamine	CHEBI:16000	ambiguous_or_unresolved
fe(iii)nh4-edta	CHEBI:91243	ambiguous_or_unresolved
fe(nh4)2(so4)2	CHEBI:32599	ambiguous_or_unresolved
fe(nh4)2(so4)2 x 12 h2o	CHEBI:75215	ambiguous_or_unresolved
