label	current_chebi	reason
fe2(so4)3 x h2o	CHEBI:32588	ambiguous_or_unresolved
fena-edta	CHEBI:86158	ambiguous_or_unresolved
ferrous citrate	CHEBI:32139	ambiguous_or_unresolved
fig	CHEBI:17992	ambiguous_or_unresolved
fructose	CHEBI:15824	ambiguous_or_unresolved
garden soil	CHEBI:86360	ambiguous_or_unresolved
glacial acetic acid	CHEBI:16236	ambiguous_or_unresolved
glucose	CHEBI:17234	ambiguous_or_unresolved
glutamine	CHEBI:18050	ambiguous_or_unresolved
glycerol (anhydrous)	CHEBI:17754	ambiguous_or_unresolved
glycine	CHEBI:15428	ambiguous_or_unresolved
ground beef	CHEBI:8806	ambiguous_or_unresolved
h2seo3	CHEBI:75215	ambiguous_or_unresolved
h3bo4	CHEBI:32599	ambiguous_or_unresolved
hemicalcium d-(+)-pantothenate	CHEBI:27470	ambiguous_or_unresolved
hipolypepton	CHEBI:26710	ambiguous_or_unresolved
homo-pipes	CHEBI:32588	ambiguous_or_unresolved
homopipes	CHEBI:17905	ambiguous_or_unresolved
horikoshi-i medium	CHEBI:26710	ambiguous_or_unresolved
hy-case amino	CHEBI:26710	ambiguous_or_unresolved
inositol	CHEBI:17268	ambiguous_or_unresolved
k-phosphate buffer	CHEBI:86158	ambiguous_or_unresolved
k2hso4	CHEBI:6636	ambiguous_or_unresolved
kh2po3	CHEBI:32312	ambiguous_or_unresolved
kh2po4 x 2 h2o	CHEBI:91260	ambiguous_or_unresolved
kh2po4 x 7 h2o	CHEBI:2509	ambiguous_or_unresolved
ki	CHEBI:138791	ambiguous_or_unresolved
kj	CHEBI:131527	ambiguous_or_unresolved
l-15 medium	CHEBI:18050	ambiguous_or_unresolved
l-15 powder	CHEBI:17203	ambiguous_or_unresolved
l-cysteine	CHEBI:15356	ambiguous_or_unresolved
l-cysteine x hcl x h2o solution	CHEBI:26710	ambiguous_or_unresolved
l-glutathione	CHEBI:16856	ambiguous_or_unresolved
l-ornithine hcl	CHEBI:17115	ambiguous_or_unresolved
la(no3)3 x 6 h2o	CHEBI:32599	ambiguous_or_unresolved
lacl3 x 7 h2o	CHEBI:26710	ambiguous_or_unresolved
lactose	CHEBI:17716	ambiguous_or_unresolved
larchwood xylan	CHEBI:2509	ambiguous_or_unresolved
leibovitz's l-15 medium	CHEBI:26710	ambiguous_or_unresolved
leptospira medium base emjh	CHEBI:2511	ambiguous_or_unresolved
li2b4o7	CHEBI:32599	ambiguous_or_unresolved
lipoprotein concentrate	CHEBI:17203	ambiguous_or_unresolved
liver concentrate	CHEBI:59640	ambiguous_or_unresolved
liver extract	CHEBI:85248	ambiguous_or_unresolved
maize extract	CHEBI:2509	ambiguous_or_unresolved
maize meal	CHEBI:2509	ambiguous_or_unresolved
maltose	CHEBI:17306	ambiguous_or_unresolved
maltose monohydrate	CHEBI:2509	ambiguous_or_unresolved
marmite	CHEBI:34683	ambiguous_or_unresolved
mem alpha modification	CHEBI:15361	ambiguous_or_unresolved
menadione solution	CHEBI:31206	ambiguous_or_unresolved
metall salt sol. 44	CHEBI:6636	ambiguous_or_unresolved
methanol solution (see below)	CHEBI:31206	ambiguous_or_unresolved
mg(no3)2 x 6 h2o	CHEBI:8806	ambiguous_or_unresolved
mg(so4) x 7 h2o	CHEBI:32588	ambiguous_or_unresolved
mgcl2 x 4 h2o	CHEBI:31440	ambiguous_or_unresolved
mgcl2 x 6 h2o	CHEBI:34887	ambiguous_or_unresolved
micronutrient solution	CHEBI:86158	ambiguous_or_unresolved
milk	CHEBI:42758	ambiguous_or_unresolved
mineral solution (see medium no. 976	CHEBI:32149	ambiguous_or_unresolved
mn(ii) x edta	CHEBI:131527	ambiguous_or_unresolved
mncl2 x 6 h2o	CHEBI:64734	ambiguous_or_unresolved
mncl4 x 4 h2o	CHEBI:76209	ambiguous_or_unresolved
mncl4 x 6 h2o	CHEBI:31206	ambiguous_or_unresolved
mnso4 x 4 h2o	CHEBI:62982	ambiguous_or_unresolved
modified trace vitamins	CHEBI:16494	ambiguous_or_unresolved
modified wolfe's minerals	CHEBI:75215	ambiguous_or_unresolved
n-acetyl-d-glucosamine	CHEBI:506227	ambiguous_or_unresolved
n-z amine	CHEBI:85248	ambiguous_or_unresolved
n-z-case	CHEBI:85248	ambiguous_or_unresolved
na acetate x 3 h2o	CHEBI:86158	ambiguous_or_unresolved
na-aspartate	CHEBI:32599	ambiguous_or_unresolved
na-caseinate	CHEBI:32030	ambiguous_or_unresolved
na-glycerol phosphate	CHEBI:3311	ambiguous_or_unresolved
na-meta silicate	CHEBI:26833	ambiguous_or_unresolved
na-nitrilotriacetat	CHEBI:32312	ambiguous_or_unresolved
na-phosphate-buffer	CHEBI:32588	ambiguous_or_unresolved
na-tartrate	CHEBI:1185531	ambiguous_or_unresolved
na-tungstate x 2 h2o	CHEBI:49976	ambiguous_or_unresolved
na2 beta-glycerol po4 x 5 h2o	CHEBI:176843	ambiguous_or_unresolved
na2-9,10-anthraquinone-2,6-disulfonate	CHEBI:32139	ambiguous_or_unresolved
na2-tartrate x 2 h2o	CHEBI:32150	ambiguous_or_unresolved
na2-ß-glycerophosphate x 5 h2o	CHEBI:86158	ambiguous_or_unresolved
na2hpo4-kh2po4 buffer	CHEBI:46020	ambiguous_or_unresolved
na2hpo4-nah2po4 buffer	CHEBI:86158	ambiguous_or_unresolved
na2moo7 x 2 h2o	CHEBI:28741	ambiguous_or_unresolved
na2moo7o4 x 2 h2o	CHEBI:3312	ambiguous_or_unresolved
na2o4w x 2 h2o	CHEBI:35696	ambiguous_or_unresolved
na2s2o4 x 2 h2o	CHEBI:17632	ambiguous_or_unresolved
na2se2o3	CHEBI:86249	ambiguous_or_unresolved
na2seo3 x 5 h2o	CHEBI:63940	ambiguous_or_unresolved
na2wo2 x 2 h2o	CHEBI:86158	ambiguous_or_unresolved
na2wo4 x 6 h2o	CHEBI:75215	ambiguous_or_unresolved
na3-citrate x 3 h2o	CHEBI:42758	ambiguous_or_unresolved
na3-citrate x 5 h2o	CHEBI:76209	ambiguous_or_unresolved
na3-edta	CHEBI:31345	ambiguous_or_unresolved
na3-nta x h2o	CHEBI:32149	ambiguous_or_unresolved
nanh4hpo4 x 4 h2o	CHEBI:131527	ambiguous_or_unresolved
nano3	CHEBI:65327	ambiguous_or_unresolved
ndcl3 x 6 h2o	CHEBI:33118	ambiguous_or_unresolved
neopeptone	CHEBI:53258	ambiguous_or_unresolved
nitrilotriacetate	CHEBI:25548	ambiguous_or_unresolved
nitrilotriacetic acid trisodium salt monohydrate	CHEBI:31206	ambiguous_or_unresolved
oat flakes	CHEBI:2509	ambiguous_or_unresolved
oatmeal	CHEBI:2509	ambiguous_or_unresolved
oxgall	CHEBI:53425	ambiguous_or_unresolved
pentachlorophenol	CHEBI:17642	ambiguous_or_unresolved
phenyl acetate	CHEBI:18401	ambiguous_or_unresolved
phenyl acetic acid	CHEBI:30745	ambiguous_or_unresolved
phosphate buffer	CHEBI:34683	ambiguous_or_unresolved
phytone	CHEBI:131527	ambiguous_or_unresolved
pipes buffer	CHEBI:76209	ambiguous_or_unresolved
plain flour	CHEBI:3311	ambiguous_or_unresolved
poly hexamethylene carbonate	CHEBI:131527	ambiguous_or_unresolved
poly-ß-hydroxybutyric acid	CHEBI:2509	ambiguous_or_unresolved
poly[(r)-3-hydroxybutyric acid]	CHEBI:32588	ambiguous_or_unresolved
polypeptone	CHEBI:26710	ambiguous_or_unresolved
potassium aspartate	CHEBI:32599	ambiguous_or_unresolved
potassium glutamate	CHEBI:63076	ambiguous_or_unresolved
potassium phosphate	CHEBI:131527	ambiguous_or_unresolved
potassium phosphate buffer	CHEBI:31345	ambiguous_or_unresolved
potato	CHEBI:42758	ambiguous_or_unresolved
potato flour	CHEBI:17196	ambiguous_or_unresolved
prcl3 x h2o	CHEBI:64755	ambiguous_or_unresolved
probumin universal grade	CHEBI:42758	ambiguous_or_unresolved
pulp of sour stone cherries	CHEBI:2509	ambiguous_or_unresolved
putrescine	CHEBI:17148	ambiguous_or_unresolved
putrescine 2 hcl	CHEBI:15603	ambiguous_or_unresolved
pyridoxin	CHEBI:34887	ambiguous_or_unresolved
rabbit serum	CHEBI:18050	ambiguous_or_unresolved
reinforced clostridial medium	CHEBI:2509	ambiguous_or_unresolved
riboflavin solution (see medium no. 462)	CHEBI:32588	ambiguous_or_unresolved
rolled oats	CHEBI:2509	ambiguous_or_unresolved
rye grass	CHEBI:32588	ambiguous_or_unresolved
s6 medium	CHEBI:32139	ambiguous_or_unresolved
sabouraud- glucose-bouillon	CHEBI:2509	ambiguous_or_unresolved
sake	CHEBI:2509	ambiguous_or_unresolved
salt solution i	CHEBI:18019	ambiguous_or_unresolved
salt solution ii	CHEBI:29377	ambiguous_or_unresolved
salt water	CHEBI:32599	ambiguous_or_unresolved
salts solution	CHEBI:29073	ambiguous_or_unresolved
se-acid	CHEBI:31206	ambiguous_or_unresolved
selenite-tungstate solution	CHEBI:31206	ambiguous_or_unresolved
selenite-tungstate solution (see medium no. 431)	CHEBI:32599	ambiguous_or_unresolved
sigma sea salts	CHEBI:31206	ambiguous_or_unresolved
skim milk	CHEBI:28260	ambiguous_or_unresolved
sl10	CHEBI:15361	ambiguous_or_unresolved
sludge	CHEBI:86158	ambiguous_or_unresolved
sodium carbonate solution	CHEBI:2509	ambiguous_or_unresolved
sodium crotonate	CHEBI:66870	ambiguous_or_unresolved
sodium dl-lactate	CHEBI:53426	ambiguous_or_unresolved
sodium glycerophosphate	CHEBI:9754	ambiguous_or_unresolved
sodium phosphate buffer	CHEBI:49976	ambiguous_or_unresolved
sodium polygalacturonate	CHEBI:17561	ambiguous_or_unresolved
sodium potassium phosphate buffer	CHEBI:57305	ambiguous_or_unresolved
soil	CHEBI:131527	ambiguous_or_unresolved
soil extract	CHEBI:15956	ambiguous_or_unresolved
solution a	CHEBI:32149	ambiguous_or_unresolved
soy flour	CHEBI:46756	ambiguous_or_unresolved
soya pepton	CHEBI:26710	ambiguous_or_unresolved
srso4	CHEBI:32139	ambiguous_or_unresolved
steric solution	CHEBI:31206	ambiguous_or_unresolved
substrate	CHEBI:32139	ambiguous_or_unresolved
sugar	CHEBI:8806	ambiguous_or_unresolved
sugar beet molasses	CHEBI:53258	ambiguous_or_unresolved
taps	CHEBI:32954	ambiguous_or_unresolved
taps sodium salt	CHEBI:32139	ambiguous_or_unresolved
tea	CHEBI:35026	ambiguous_or_unresolved
thiamine pyrophosphate	CHEBI:18290	ambiguous_or_unresolved
thiamine solution (see medium no. 403)	CHEBI:32588	ambiguous_or_unresolved
thioglycolate	CHEBI:47869	ambiguous_or_unresolved
ticl3	CHEBI:32588	ambiguous_or_unresolved
titriplex1	CHEBI:50144	ambiguous_or_unresolved
tomato extract	CHEBI:3311	ambiguous_or_unresolved
tomato juice	CHEBI:53426	ambiguous_or_unresolved
toray silicone sh 5535	CHEBI:8806	ambiguous_or_unresolved
trace element solution	CHEBI:30961	ambiguous_or_unresolved
trace element solution (see medium no. 187	CHEBI:32588	ambiguous_or_unresolved
trace element solution sl12	CHEBI:86158	ambiguous_or_unresolved
trace metal solution	CHEBI:31206	ambiguous_or_unresolved
trace mineral solution	CHEBI:131527	ambiguous_or_unresolved
trace minerals	CHEBI:86158	ambiguous_or_unresolved
trace minerals (see medium no. 151	CHEBI:33118	ambiguous_or_unresolved
trace minerals (see medium no. 197	CHEBI:2511	ambiguous_or_unresolved
trace vitamins (see medium no. 197)	CHEBI:42758	ambiguous_or_unresolved
trace vitamins solution (see medium no. 284)	CHEBI:42758	ambiguous_or_unresolved
tris-hcl	CHEBI:1185531	ambiguous_or_unresolved
trisodium citrate x h2o	CHEBI:32150	ambiguous_or_unresolved
tropic marine salt	CHEBI:8150	ambiguous_or_unresolved
tryptose	CHEBI:53426	ambiguous_or_unresolved
tryptose-phosphate	CHEBI:2509	ambiguous_or_unresolved
v-8 juice	CHEBI:3311	ambiguous_or_unresolved
v8 canned vegetable juice	CHEBI:2509	ambiguous_or_unresolved
vitamin b12	CHEBI:176843	ambiguous_or_unresolved
vitamin solution	CHEBI:34887	ambiguous_or_unresolved
vitamin solution (see medium no. 403)	CHEBI:76209	ambiguous_or_unresolved
vitamins solution	CHEBI:49105	ambiguous_or_unresolved
vitamins-solution	CHEBI:32954	ambiguous_or_unresolved
voso4 x 2 h2o	CHEBI:32139	ambiguous_or_unresolved
voso4 x 5 h2o	CHEBI:87014	ambiguous_or_unresolved
voso4 x h2o	CHEBI:34887	ambiguous_or_unresolved
white wine	CHEBI:42758	ambiguous_or_unresolved
yeast	CHEBI:42758	ambiguous_or_unresolved
yeast autolysate	CHEBI:42758	ambiguous_or_unresolved
yeast cell paste	CHEBI:2509	ambiguous_or_unresolved
yeast extract	CHEBI:86158	ambiguous_or_unresolved
yeast nitrogen base	CHEBI:42758	ambiguous_or_unresolved
zeikus trace element solution	CHEBI:6636	ambiguous_or_unresolved
zncl2 x 6 h2o	CHEBI:35696	ambiguous_or_unresolved
ß-nad	CHEBI:9532	ambiguous_or_unresolved
ß-nicotinamide adenine dinucleotide	CHEBI:15971	ambiguous_or_unresolved
α-d-glucose monohydrate	CHEBI:35696	ambiguous_or_unresolved
