chebi_id	culturemech_label	mim_preferred_term	mim_ontology_label
CHEBI:86214	Co(NO3)2·6H2O	Co(NO3)2 x 6 H2O	Co(NO3)2 x 6 H2O
CHEBI:86249	FeCl2·4H2O	FeCl2 x 4 H2O	FeCl2 x 4 H2O
CHEBI:86254	FeCl3.6H2O	FeCl3 x 6 H2O	iron trichloride hexahydrate
CHEBI:86254	FeCl3·6H2O	FeCl3 x 6 H2O	iron trichloride hexahydrate
CHEBI:86318	CuCl2 x 2H2O	CuCl2 x 2 H2O	CuCl2 x 2 H2O
CHEBI:86318	CuCl2-2H2O	CuCl2 x 2 H2O	CuCl2 x 2 H2O
CHEBI:86318	CuCl2·2H2O	CuCl2 x 2 H2O	CuCl2 x 2 H2O
CHEBI:86345	Magnesium Chloride	MgCl2 x 6 H2O	MgCl2 x 6 H2O
CHEBI:86345	Magnesium chloride	MgCl2 x 6 H2O	MgCl2 x 6 H2O
CHEBI:86345	Magnesium chloride hexahydrate	MgCl2 x 6 H2O	MgCl2 x 6 H2O
CHEBI:86345	MgCl2.6H2O	MgCl2 x 6 H2O	MgCl2 x 6 H2O
CHEBI:86345	MgCl2·6 H2O	MgCl2 x 6 H2O	MgCl2 x 6 H2O
CHEBI:86345	MgCl2·6H2O	MgCl2 x 6 H2O	MgCl2 x 6 H2O
CHEBI:86345	magnesium chloride	MgCl2 x 6 H2O	MgCl2 x 6 H2O
CHEBI:86358	MnSO4.4H2O	MnSO4 x 4 H2O	MnSO4 x 4 H2O
CHEBI:86360	MnSO4	MnSO4 x 7 H2O	MnSO4 x 7 H2O
CHEBI:86360	MnSO4 x 1 H2O	MnSO4 x 7 H2O	MnSO4 x 7 H2O
CHEBI:86360	MnSO4 x 4 H2O	MnSO4 x 7 H2O	MnSO4 x 7 H2O
CHEBI:86360	MnSO4 x 5 H2O	MnSO4 x 7 H2O	MnSO4 x 7 H2O
CHEBI:86364	Manganese Sulfate	MnSO4 x H2O	MnSO4 x H2O
CHEBI:86364	Manganese sulfate	MnSO4 x H2O	MnSO4 x H2O
CHEBI:86364	Manganese sulfate monohydrate	MnSO4 x H2O	MnSO4 x H2O
CHEBI:86368	MnCl2 x 4H2O	MnCl2 x 4 H2O	MnCl2 x 4 H2O
CHEBI:86463	Aluminum potassium sulfate	AlK(SO4)2	AlK(SO4)2
CHEBI:86463	KAl(SO4)2	AlK(SO4)2	AlK(SO4)2
CHEBI:86465	AlK(SO4)2 x 12H2O	AlK(SO4)2 x 12 H2O	AlK(SO4)2 x 12 H2O
CHEBI:86465	AlK(SO4)2·12H2O	AlK(SO4)2 x 12 H2O	AlK(SO4)2 x 12 H2O
CHEBI:86465	KAl(SO4)2 x 12 H2O	AlK(SO4)2 x 12 H2O	AlK(SO4)2 x 12 H2O
CHEBI:86465	KAl(SO4)2·12H2O	AlK(SO4)2 x 12 H2O	AlK(SO4)2 x 12 H2O
CHEBI:86466	Potassium tetrathionate	K2S4O6	potassium tetrathionate
CHEBI:86477	Na2SO3	Na2SO3 x 5 H2O	Na2SO3 x 5 H2O
CHEBI:86477	Sodium sulfite	Na2SO3 x 5 H2O	Na2SO3 x 5 H2O
CHEBI:86481	Sodium thioglycolate	Na-thioglycolate	Na-thioglycolate
CHEBI:86481	Sodium thioglycollate	Na-thioglycolate	Na-thioglycolate
CHEBI:867561	L-Sodium lactate	Sodium L-lactate	Sodium L-lactate
CHEBI:87020	VOSO4·xH2O	VOSO4 x n H2O	VOSO4 x n H2O
CHEBI:91248	Cysteine hydrochloride	L-Cysteine hydrochloride monohydrate	L-cysteine hydrochloride hydrate
CHEBI:91248	L-Cysteine HCl x H2O	L-Cysteine hydrochloride monohydrate	L-cysteine hydrochloride hydrate
CHEBI:91249	(NH4)2MoO4	Diammonium molybdate	ammonium molybdate
CHEBI:91249	Ammonium Molybdate	Diammonium molybdate	ammonium molybdate
CHEBI:91249	Ammonium molybdate	Diammonium molybdate	ammonium molybdate
CHEBI:91261	DL-Na-malate	Sodium malate	Sodium malate
CHEBI:91261	DL-Sodium malate	Sodium malate	Sodium malate
CHEBI:91261	Na malate	Sodium malate	Sodium malate
CHEBI:91261	Na-DL-malate	Sodium malate	Sodium malate
CHEBI:91261	Na-L-malate	Sodium malate	Sodium malate
CHEBI:91261	Na-malate	Sodium malate	Sodium malate
CHEBI:91261	Na2-DL-malate	Sodium malate	Sodium malate
CHEBI:91261	Sodium DL-malate	Sodium malate	Sodium malate
CHEBI:91261	Sodium L-malate	Sodium malate	Sodium malate
CHEBI:9532	Thiamine pyrophosphate	0.2% Thiamine pyrophosphate	thiamine(1+) diphosphate
CHEBI:9754	TRIS	Tris base	Tris base
CHEBI:9754	Tris	Tris base	Tris base
CHEBI:9754	Tris buffer	Tris base	Tris base
CHEBI:9754	Tris buffer 1M	Tris base	Tris base
CHEBI:9754	Tris(hydroxymethyl)aminomethane	Tris base	Tris base
CHEBI:9754	Tris(hydroxymethyl)methylamine	Tris base	Tris base
