file_path	record_id	verdict	detail	ungrounded_siblings
bacterial/medium_27_modified_for_dsm_18633.yaml	CultureMech:004683	PROMOTED	0.3 g/L Yeast extract; 18 others all CHEBI-grounded	
bacterial/medium_27_modified_for_dsm_18937.yaml	CultureMech:004684	PROMOTED	0.3 g/L Yeast extract; 18 others all CHEBI-grounded	
bacterial/medium_27_modified_for_dsm_19785.yaml	CultureMech:004685	PROMOTED	0.3 g/L Yeast extract; 18 others all CHEBI-grounded	
bacterial/medium_27_modified_for_dsm_19945.yaml	CultureMech:004686	PROMOTED	0.3 g/L Yeast extract; 18 others all CHEBI-grounded	
bacterial/medium_27_modified_for_dsm_19946.yaml	CultureMech:004687	PROMOTED	0.3 g/L Yeast extract; 18 others all CHEBI-grounded	
bacterial/medium_27_modified_for_dsm_2132.yaml	CultureMech:004688	PROMOTED	0.3 g/L Yeast extract; 18 others all CHEBI-grounded	
bacterial/medium_27_modified_for_dsm_2351.yaml	CultureMech:004689	PROMOTED	0.3 g/L Yeast extract; 18 others all CHEBI-grounded	
bacterial/medium_27_modified_for_dsm_2698.yaml	CultureMech:004690	PROMOTED	0.3 g/L Yeast extract; 18 others all CHEBI-grounded	
bacterial/medium_27_modified_for_dsm_2780.yaml	CultureMech:004691	PROMOTED	0.3 g/L Yeast extract; 18 others all CHEBI-grounded	
bacterial/medium_27_modified_for_dsm_4180.yaml	CultureMech:004692	PROMOTED	0.3 g/L Yeast extract; 18 others all CHEBI-grounded	
bacterial/medium_27_modified_for_dsm_5909.yaml	CultureMech:004693	PROMOTED	0.3 g/L Yeast extract; 18 others all CHEBI-grounded	
bacterial/medium_27_modified_for_dsm_9894.yaml	CultureMech:004694	PROMOTED	0.3 g/L Yeast extract; 18 others all CHEBI-grounded	
bacterial/medium_27_modified_for_dsm_9987.yaml	CultureMech:004695	PROMOTED	0.3 g/L Yeast extract; 18 others all CHEBI-grounded	
bacterial/medium_460_modified_for_dsm_4166.yaml	CultureMech:005465	PROMOTED	0.2 g/L Yeast extract; 5 others all CHEBI-grounded	
bacterial/medium_507_modified_for_dsm_7242.yaml	CultureMech:005706	CURATOR: ground the sibling, or add it to the undefined list	1 other ingredient(s) not CHEBI-grounded	Na2-9,10-anthraquinone-2,6-disulfonate
bacterial/medium_516_modified_for_dsm_9003.yaml	CultureMech:005873	PROMOTED	0.499002 g/L Yeast extract; 28 others all CHEBI-grounded	
