signal	key	variants
B_chebi_multi_compound	CHEBI:6635	{'mgcl2': 1, '6h mgcl o': 8}
B_chebi_multi_compound	CHEBI:15346	{'a coenzyme': 6, 'a coenzym': 2}
B_chebi_multi_compound	CHEBI:85146	{'carboxymethyl cellulose': 5, 'carboxymethylcellulose': 2}
B_chebi_multi_compound	CHEBI:64183	{'cacl2': 1, '2h cacl o': 6}
B_chebi_multi_compound	CHEBI:17879	{'4 hydroxybenzoate': 3, 'hydroxybenzoate p': 3}
B_chebi_multi_compound	CHEBI:32586	{'na2seo4': 2, 'na2so4': 4}
B_chebi_multi_compound	CHEBI:41808	{'decane': 3, 'decane n': 3}
B_chebi_multi_compound	CHEBI:86469	{'citrate triammonium': 2, '6h o zncl': 4}
B_chebi_multi_compound	CHEBI:16991	{'dna': 2, 'dna fish sperm': 3}
B_chebi_multi_compound	CHEBI:82664	{'powder': 3, 'metal': 2}
B_chebi_multi_compound	CHEBI:26709	{'nahso3': 3, 'bisulfite': 2}
B_chebi_multi_compound	CHEBI:28911	{'cobalamin': 4, 'cobalamine': 1}
B_chebi_multi_compound	CHEBI:18101	{'4 acetic acid hydroxyphenyl': 3, '4 hydroxyphenylacetate': 1}
B_chebi_multi_compound	CHEBI:91241	{'nh4 oxalate': 2, 'oxalate': 2}
B_chebi_multi_compound	CHEBI:191088	{'buffer caps': 1, 'caps': 3}
B_chebi_multi_compound	CHEBI:9532	{'pyrophosphate thiamine': 2, '0 2 pyrophosphate thiamine': 1}
B_chebi_multi_compound	CHEBI:16551	{'trehalose': 2, 'd trehalose': 1}
B_chebi_multi_compound	CHEBI:40957	{'bicine': 1, 'bicine buffer': 2}
B_chebi_multi_compound	CHEBI:17544	{'hco3': 1, 'bicarbonate': 1}
B_chebi_multi_compound	CHEBI:132766	{'0 5 acid m nitrilotriacetic': 1, 'acid nitrilotriacetic trisodium': 1}
B_chebi_multi_compound	CHEBI:49474	{'ar': 1, 'argon': 1}
