yaml_path	category_dir	record_kind	record_shape	id	name	preferred_term	original_name	missing_name	missing_composition	media_term_id	medium_type	physical_state	ingredient_count	solution_count	top_level_solution_component_count	solution_component_count	total_component_count	malformed_component_count	missing_component_name_count	ingredient_term_count	ingredient_chebi_term_count	ingredient_non_chebi_term_count	mediaingredientmech_count	culturemech_component_count	parent_ingredient_count	variant_type_count	concentration_count	solution_concentration_count	solution_concentration_candidate_count	missing_concentration_count	missing_solution_concentration_count	missing_solution_concentration_with_candidates_count	missing_solution_concentration_without_candidates_count	malformed_concentration_count	missing_concentration_value_count	missing_concentration_unit_count	non_schema_concentration_unit_count	variable_concentration_count	variable_solution_concentration_count	unresolved_concentration_count	unresolved_solution_concentration_count	concentration_units	unexpected_ingredient_keys	embedded_variant_count	has_merge_fingerprint	has_chemical_fingerprint	has_variant_fingerprint	ingredient_identity_signature	ingredient_concentration_signature	review_status	issue_count	issue_codes	issue_locations	load_error
data/normalized_yaml/algae/1_5_soil_seawater_medium.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000011	1_5_soil_seawater_medium		1/5 Soil + Seawater Medium	0	0		COMPLEX	LIQUID	4	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	4	0	G_PER_L		0	False	False	False	8a1e52a5af1e4bbd	4bb93f8ae3a10062	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration;VARIABLE_CONCENTRATION@ingredients[2].concentration;VARIABLE_CONCENTRATION@ingredients[3].concentration	
data/normalized_yaml/algae/1_F_2_Medium.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000012	1_f_2_medium		1% F/2 Medium	0	0		COMPLEX	LIQUID	9	0	0	0	9	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9	0	9	0	G_PER_L		0	False	False	False	a68a4ffd71688bbd	d8dd98cd437329f8	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration;VARIABLE_CONCENTRATION@ingredients[2].concentration;VARIABLE_CONCENTRATION@ingredients[3].concentration;VARIABLE_CONCENTRATION@ingredients[4].concentration;VARIABLE_CONCENTRATION@ingredients[5].concentration;VARIABLE_CONCENTRATION@ingredients[6].concentration;VARIABLE_CONCENTRATION@ingredients[7].concentration;VARIABLE_CONCENTRATION@ingredients[8].concentration	
data/normalized_yaml/algae/20_allen_80_erdschreiber_1_4_medium.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000013	20_allen_80_erdschreiber_1_4_medium		20% Allen + 80% Erdschreiber (1:4) Medium	0	0		COMPLEX	LIQUID	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	G_PER_L		0	False	False	False	98af4803b0701f53	0a3e8ac153919311	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration	
data/normalized_yaml/algae/2X_CHEV_Diatom_Medium.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000014	2x_chev_diatom_medium		2X CHEV Diatom Medium	0	0		COMPLEX	LIQUID	4	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	4	0	G_PER_L		0	False	False	False	8a1e52a5af1e4bbd	4bb93f8ae3a10062	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration;VARIABLE_CONCENTRATION@ingredients[2].concentration;VARIABLE_CONCENTRATION@ingredients[3].concentration	
data/normalized_yaml/algae/2_3_CHEV_Diatom_Medium.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000017	2_3_chev_diatom_medium		2/3 CHEV Diatom Medium	0	0		COMPLEX	LIQUID	4	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	4	0	G_PER_L		0	False	False	False	8a1e52a5af1e4bbd	4bb93f8ae3a10062	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration;VARIABLE_CONCENTRATION@ingredients[2].concentration;VARIABLE_CONCENTRATION@ingredients[3].concentration	
data/normalized_yaml/algae/2_3_Enriched_Seawater.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000018	2_3_enriched_seawater		2/3 Enriched Seawater	0	0		COMPLEX	LIQUID	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	G_PER_L		0	False	False	False	98af4803b0701f53	0a3e8ac153919311	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration	
data/normalized_yaml/algae/2asw.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000038	2asw		2ASW	0	0		COMPLEX	LIQUID	13	0	0	0	13	0	0	13	13	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	G_PER_L		2	False	False	False	e774f515979fc68a	d934de4c389e944e	PASS	0			
data/normalized_yaml/algae/2x_erdschreibers_medium.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000015	2x_erdschreibers_medium		2X Erdschreiber's Medium	0	0		COMPLEX	LIQUID	6	0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	0	6	0	G_PER_L		0	False	False	False	8def59e721b37e02	2bfd535ccb6f7ac2	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration;VARIABLE_CONCENTRATION@ingredients[2].concentration;VARIABLE_CONCENTRATION@ingredients[3].concentration;VARIABLE_CONCENTRATION@ingredients[4].concentration;VARIABLE_CONCENTRATION@ingredients[5].concentration	
data/normalized_yaml/algae/2x_soil_seawater_medium.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000016	2x_soil_seawater_medium		2X Soil + Seawater Medium	0	0		COMPLEX	LIQUID	3	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	3	0	G_PER_L		0	False	False	False	bfdbaa286b97cefe	34a2963375af2110	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration;VARIABLE_CONCENTRATION@ingredients[2].concentration	
data/normalized_yaml/algae/3n_bbm_v.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000039	3n_bbm_v		3N-BBM+V	0	0		COMPLEX	LIQUID	6	0	0	0	6	0	0	6	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	G_PER_L		0	False	False	False	7a22d72efc0b34a7	5c5edcaca0ea6ad6	PASS	0			
data/normalized_yaml/algae/5_3_soil_seawater_agar_medium.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000019	5_3_soil_seawater_agar_medium		5/3 Soil + Seawater Agar Medium	0	0		COMPLEX	LIQUID	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	G_PER_L		0	False	False	False	98af4803b0701f53	0a3e8ac153919311	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration	
data/normalized_yaml/algae/5_F_2_Medium.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000020	5_f_2_medium		5% F/2 Medium	0	0		COMPLEX	LIQUID	9	0	0	0	9	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9	0	9	0	G_PER_L		0	False	False	False	a68a4ffd71688bbd	d8dd98cd437329f8	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration;VARIABLE_CONCENTRATION@ingredients[2].concentration;VARIABLE_CONCENTRATION@ingredients[3].concentration;VARIABLE_CONCENTRATION@ingredients[4].concentration;VARIABLE_CONCENTRATION@ingredients[5].concentration;VARIABLE_CONCENTRATION@ingredients[6].concentration;VARIABLE_CONCENTRATION@ingredients[7].concentration;VARIABLE_CONCENTRATION@ingredients[8].concentration	
data/normalized_yaml/algae/8_ppt_F_2_Medium.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000021	8_ppt_f_2_medium		8 ppt F/2 Medium	0	0		COMPLEX	LIQUID	7	0	0	0	7	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	0	7	0	G_PER_L		0	False	False	False	13b5f701d547c0ea	55716540a9435e5e	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration;VARIABLE_CONCENTRATION@ingredients[2].concentration;VARIABLE_CONCENTRATION@ingredients[3].concentration;VARIABLE_CONCENTRATION@ingredients[4].concentration;VARIABLE_CONCENTRATION@ingredients[5].concentration;VARIABLE_CONCENTRATION@ingredients[6].concentration	
data/normalized_yaml/algae/Ag_Diatom_Medium.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000023	ag_diatom_medium		Ag Diatom Medium	0	0		COMPLEX	LIQUID	3	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	3	0	G_PER_L		0	False	False	False	bfdbaa286b97cefe	34a2963375af2110	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration;VARIABLE_CONCENTRATION@ingredients[2].concentration	
data/normalized_yaml/algae/Allen_Medium.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000024	allen_medium		Allen Medium	0	0		COMPLEX	LIQUID	9	0	0	0	9	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9	0	9	0	G_PER_L		0	False	False	False	a68a4ffd71688bbd	d8dd98cd437329f8	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration;VARIABLE_CONCENTRATION@ingredients[2].concentration;VARIABLE_CONCENTRATION@ingredients[3].concentration;VARIABLE_CONCENTRATION@ingredients[4].concentration;VARIABLE_CONCENTRATION@ingredients[5].concentration;VARIABLE_CONCENTRATION@ingredients[6].concentration;VARIABLE_CONCENTRATION@ingredients[7].concentration;VARIABLE_CONCENTRATION@ingredients[8].concentration	
data/normalized_yaml/algae/Artificial_Seawater_Medium.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000025	artificial_seawater_medium		Artificial Seawater Medium	0	0		COMPLEX	LIQUID	11	0	0	0	11	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	11	0	11	0	G_PER_L		2	False	False	False	03efdde43612f4c9	c28e88d751a0a4dd	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[10].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration;VARIABLE_CONCENTRATION@ingredients[2].concentration;VARIABLE_CONCENTRATION@ingredients[3].concentration;VARIABLE_CONCENTRATION@ingredients[4].concentration;VARIABLE_CONCENTRATION@ingredients[5].concentration;VARIABLE_CONCENTRATION@ingredients[6].concentration;VARIABLE_CONCENTRATION@ingredients[7].concentration;VARIABLE_CONCENTRATION@ingredients[8].concentration;VARIABLE_CONCENTRATION@ingredients[9].concentration	
data/normalized_yaml/algae/Bold_1NV_Erdshreiber_1_1_Medium.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000030	bold_1nv_erdshreiber_1_1_medium		Bold 1NV:Erdshreiber (1:1) Medium	0	0		COMPLEX	LIQUID	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	G_PER_L		0	False	False	False	98af4803b0701f53	0a3e8ac153919311	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration	
data/normalized_yaml/algae/Bold_1NV_Erdshreiber_4_1_Medium.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000031	bold_1nv_erdshreiber_4_1_medium		Bold 1NV:Erdshreiber (4:1) Medium	0	0		COMPLEX	LIQUID	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	G_PER_L		0	False	False	False	98af4803b0701f53	0a3e8ac153919311	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration	
data/normalized_yaml/algae/Bold_1NV_Medium.yaml	algae	MEDIA	MEDIA_RECIPE	CultureMech:000032	bold_1nv_medium		Bold 1NV Medium	0	0		COMPLEX	LIQUID	10	0	0	0	10	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	10	0	10	0	G_PER_L		0	False	False	False	2de4241f82527208	8f75c604fd104da8	NEEDS_REVIEW	1	VARIABLE_CONCENTRATION	VARIABLE_CONCENTRATION@ingredients[0].concentration;VARIABLE_CONCENTRATION@ingredients[1].concentration;VARIABLE_CONCENTRATION@ingredients[2].concentration;VARIABLE_CONCENTRATION@ingredients[3].concentration;VARIABLE_CONCENTRATION@ingredients[4].concentration;VARIABLE_CONCENTRATION@ingredients[5].concentration;VARIABLE_CONCENTRATION@ingredients[6].concentration;VARIABLE_CONCENTRATION@ingredients[7].concentration;VARIABLE_CONCENTRATION@ingredients[8].concentration;VARIABLE_CONCENTRATION@ingredients[9].concentration	
