yaml_path	category_dir	primary_target	excluded_reason	id	name	original_name	medium_type	physical_state	target_organism_count	growth_metric_count	supported_growth_evidence_count	genome_id_count	variant_count	proposal_path	proposal_candidate_count	proposal_support_count	proposal_review_count	review_status	load_error
data/normalized_yaml/algae/5_3_soil_seawater_agar_medium.yaml	algae	True		CultureMech:000019	5_3_soil_seawater_agar_medium	5/3 Soil + Seawater Agar Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/5_3_soil_seawater_agar_medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/5_F_2_Medium.yaml	algae	True		CultureMech:000020	5_f_2_medium	5% F/2 Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/5_F_2_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/8_ppt_F_2_Medium.yaml	algae	True		CultureMech:000021	8_ppt_f_2_medium	8 ppt F/2 Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/8_ppt_F_2_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/Ag_Diatom_Medium.yaml	algae	True		CultureMech:000023	ag_diatom_medium	Ag Diatom Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/Ag_Diatom_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/Allen_Medium.yaml	algae	True		CultureMech:000024	allen_medium	Allen Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/Allen_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/Artificial_Seawater_Medium.yaml	algae	True		CultureMech:000025	artificial_seawater_medium	Artificial Seawater Medium	COMPLEX	LIQUID	3	2	3	0	2	workspace/reports/growth_evidence_proposals/Artificial_Seawater_Medium.yaml	2	0	2	applied_growth_evidence	
data/normalized_yaml/algae/Bold_1NV_Erdshreiber_1_1_Medium.yaml	algae	True		CultureMech:000030	bold_1nv_erdshreiber_1_1_medium	Bold 1NV:Erdshreiber (1:1) Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/Bold_1NV_Erdshreiber_1_1_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/Bold_1NV_Erdshreiber_4_1_Medium.yaml	algae	True		CultureMech:000031	bold_1nv_erdshreiber_4_1_medium	Bold 1NV:Erdshreiber (4:1) Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/Bold_1NV_Erdshreiber_4_1_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/Bold_1NV_Medium.yaml	algae	True		CultureMech:000032	bold_1nv_medium	Bold 1NV Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/Bold_1NV_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/Bold_3N_Medium.yaml	algae	True		CultureMech:000033	bold_3n_medium	Bold 3N Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/Bold_3N_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/Bold_Basal_Medium.yaml	algae	True		CultureMech:000034	bold_basal_medium	Bold Basal Medium	COMPLEX	LIQUID	1	1	2	0	1	workspace/reports/growth_evidence_proposals/Bold_Basal_Medium.yaml	2	0	2	applied_growth_evidence	
data/normalized_yaml/algae/Botryococcus_Medium.yaml	algae	True		CultureMech:000035	botryococcus_medium	Botryococcus Medium	COMPLEX	LIQUID	0	0	0	0	0	workspace/reports/growth_evidence_proposals/Botryococcus_Medium.yaml	0	0	0	reviewed_no_candidates	
data/normalized_yaml/algae/Bristol_Medium.yaml	algae	True		CultureMech:000037	bristol_medium	Bristol Medium	COMPLEX	LIQUID	1	1	1	0	0	workspace/reports/growth_evidence_proposals/Bristol_Medium.yaml	2	0	2	applied_growth_evidence	
