filename,medium_name,extracted_organism,ncbi_taxon_id,ncbi_taxon_label,strain,culture_type,confidence,extraction_pattern,approve
archaea/DSMZ_74_THERMUS_THERMOPHILUS_MEDIUM.yaml,DSMZ 74 THERMUS THERMOPHILUS MEDIUM,THERMUS THERMOPHILUS,,,,isolate,high,genus_species_medium,TRUE
archaea/DSMZ_815a_DESULFOCELLA_HALOPHILA_MEDIUM.yaml,DSMZ 815a DESULFOCELLA HALOPHILA MEDIUM,DESULFOCELLA HALOPHILA,,,,isolate,high,genus_species_medium,TRUE
archaea/JCM_J1006_HALOPHILIC_SOB_MEDIUM.yaml,JCM J1006 HALOPHILIC SOB MEDIUM,HALOPHILIC SOB,,,,isolate,high,genus_species_medium,TRUE
archaea/JCM_J1027_METHANOGENS_SALINE_WATER_MEDIUM.yaml,JCM J1027 METHANOGENS SALINE WATER MEDIUM,METHANOGENS SALINE,,,,isolate,high,genus_species_strain_medium,TRUE
archaea/JCM_J1048_METHANOGEN_HIGH_SALT_MEDIUM.yaml,JCM J1048 METHANOGEN HIGH SALT MEDIUM,METHANOGEN HIGH,,,,isolate,high,genus_species_strain_medium,TRUE
archaea/JCM_J1218_MODIFIED_METHANOHALOPHILUS_MEDIUM.yaml,JCM J1218 MODIFIED METHANOHALOPHILUS MEDIUM,MODIFIED METHANOHALOPHILUS,,,,isolate,high,genus_species_medium,TRUE
archaea/JCM_J1220_MODERATE_HALOPHILE_MEDIUM_2.yaml,JCM J1220 MODERATE HALOPHILE MEDIUM 2,MODERATE HALOPHILE,,,,isolate,high,genus_species_medium,TRUE
archaea/JCM_J1237_TREPONEMA_THERMOPHILUM_MEDIUM.yaml,JCM J1237 TREPONEMA THERMOPHILUM MEDIUM,TREPONEMA THERMOPHILUM,,,,isolate,high,genus_species_medium,TRUE
archaea/JCM_J128_HYDROGENOBACTER_HALOPHILUS_MEDIUM.yaml,JCM J128 HYDROGENOBACTER HALOPHILUS MEDIUM,HYDROGENOBACTER HALOPHILUS,,,,isolate,high,genus_species_medium,TRUE
archaea/JCM_J154_HYDROGENOBACTER_THERMOPHILUS_MEDIUM.yaml,JCM J154 HYDROGENOBACTER THERMOPHILUS MEDIUM,HYDROGENOBACTER THERMOPHILUS,,,,isolate,high,genus_species_medium,TRUE
archaea/JCM_J285_METHANOSAETA_THERMOPHILA_MEDIUM.yaml,JCM J285 METHANOSAETA THERMOPHILA MEDIUM,METHANOSAETA THERMOPHILA,,,,isolate,high,genus_species_medium,TRUE
