culturemech_id	file_path
CultureMech:000080	data/normalized_yaml/algae/CCAP_LB.yaml
CultureMech:000081	data/normalized_yaml/algae/CCAP_MAF6_SE.yaml
CultureMech:000082	data/normalized_yaml/algae/CCAP_MASM.yaml
CultureMech:000083	data/normalized_yaml/algae/CCAP_MBBM.yaml
CultureMech:000084	data/normalized_yaml/algae/CCAP_MC II ).yaml
CultureMech:000085	data/normalized_yaml/algae/CCAP_MC II .yaml
CultureMech:000086	data/normalized_yaml/algae/CCAP_MC.yaml
CultureMech:000087	data/normalized_yaml/algae/CCAP_MCH.yaml
CultureMech:000088	data/normalized_yaml/algae/CCAP_MDY-V.yaml
CultureMech:000089	data/normalized_yaml/algae/CCAP_MErd.yaml
CultureMech:000090	data/normalized_yaml/algae/CCAP_MErd_MY75S.yaml
CultureMech:000091	data/normalized_yaml/algae/CCAP_MHY.yaml
CultureMech:000092	data/normalized_yaml/algae/CCAP_MP  Medium.yaml
CultureMech:000093	data/normalized_yaml/algae/CCAP_MW.yaml
CultureMech:000094	data/normalized_yaml/algae/CCAP_MWC.yaml
CultureMech:000095	data/normalized_yaml/algae/CCAP_MY75S.yaml
CultureMech:000096	data/normalized_yaml/algae/CCAP_Met-44.yaml
CultureMech:000097	data/normalized_yaml/algae/CCAP_N75S.yaml
CultureMech:000098	data/normalized_yaml/algae/CCAP_N75S_NSW.yaml
CultureMech:000099	data/normalized_yaml/algae/CCAP_NCL.yaml
CultureMech:000100	data/normalized_yaml/algae/CCAP_NCL75S.yaml
CultureMech:000101	data/normalized_yaml/algae/CCAP_NCL_ PJ.yaml
CultureMech:000102	data/normalized_yaml/algae/CCAP_NCL_0.01_NPA.yaml
CultureMech:000103	data/normalized_yaml/algae/CCAP_NCL_MP.yaml
CultureMech:000104	data/normalized_yaml/algae/CCAP_NCL_PJ_0.01_NPA.yaml
CultureMech:000105	data/normalized_yaml/algae/CCAP_NN  Agar).yaml
CultureMech:000106	data/normalized_yaml/algae/CCAP_NN  Agar.yaml
CultureMech:000107	data/normalized_yaml/algae/CCAP_NSS Low.yaml
CultureMech:000108	data/normalized_yaml/algae/CCAP_PAS.yaml
CultureMech:000109	data/normalized_yaml/algae/CCAP_PC.yaml
CultureMech:000110	data/normalized_yaml/algae/CCAP_PE.yaml
CultureMech:000111	data/normalized_yaml/algae/CCAP_PER.yaml
CultureMech:000112	data/normalized_yaml/algae/CCAP_PJ.yaml
CultureMech:000113	data/normalized_yaml/algae/CCAP_PJ_NN.yaml
CultureMech:000114	data/normalized_yaml/algae/CCAP_PM.yaml
CultureMech:000115	data/normalized_yaml/algae/CCAP_PP.yaml
CultureMech:000116	data/normalized_yaml/algae/CCAP_PPG.yaml
CultureMech:000117	data/normalized_yaml/algae/CCAP_PPY.yaml
CultureMech:000118	data/normalized_yaml/algae/CCAP_R75S.yaml
CultureMech:000119	data/normalized_yaml/algae/CCAP_R75S_NSW.yaml
CultureMech:000120	data/normalized_yaml/algae/CCAP_RPL.yaml
CultureMech:000121	data/normalized_yaml/algae/CCAP_RPL_0.01_RPA.yaml
CultureMech:000122	data/normalized_yaml/algae/CCAP_RPL_MP.yaml
CultureMech:000123	data/normalized_yaml/algae/CCAP_RPL_PJ.yaml
CultureMech:000124	data/normalized_yaml/algae/CCAP_RPL_PJ_0.01_RPA.yaml
CultureMech:000125	data/normalized_yaml/algae/CCAP_S77 + vitamin.yaml
CultureMech:000126	data/normalized_yaml/algae/CCAP_S88 + vitamin.yaml
CultureMech:000127	data/normalized_yaml/algae/CCAP_SBBM.yaml
CultureMech:000128	data/normalized_yaml/algae/CCAP_SE1.yaml
CultureMech:000129	data/normalized_yaml/algae/CCAP_SE2.yaml
CultureMech:000130	data/normalized_yaml/algae/CCAP_SES.yaml
CultureMech:000131	data/normalized_yaml/algae/CCAP_SES_ PJ.yaml
CultureMech:000132	data/normalized_yaml/algae/CCAP_SES_MP.yaml
CultureMech:000133	data/normalized_yaml/algae/CCAP_SNA.yaml
CultureMech:000134	data/normalized_yaml/algae/CCAP_SNA_5.yaml
CultureMech:000135	data/normalized_yaml/algae/CCAP_SP.yaml
CultureMech:000136	data/normalized_yaml/algae/CCAP_S_W + AMP.yaml
CultureMech:000137	data/normalized_yaml/algae/CCAP_S_W + Ca.yaml
CultureMech:000138	data/normalized_yaml/algae/CCAP_S_W.yaml
CultureMech:000139	data/normalized_yaml/algae/CCAP_TAP Medium.yaml
