culturemech_id	lineage_signature	file_path	display_name	lifecycle_status	successor_ids	lifecycle_note	catalog_schema_version
CultureMech:000001	sha256:ec48d6f365ba49dadf46ea9e17940aee409b0d283eb07e9acdc1d50d1a8cba0a	data/normalized_yaml/algae/1_1_dyiii_pea_gr_medium.yaml	1_1_dyiii_pea_gr_medium	ACTIVE			1
CultureMech:000002	sha256:5a66fa81eb4c8a95ba218f9e0c127b3411abc338f42176f972fb842c27e26598	data/normalized_yaml/algae/1_2_CHEV_Diatom_Medium.yaml	1_2_chev_diatom_medium	ACTIVE			1
CultureMech:000003	sha256:3ccedf5498f3b6d88173dc785185104c2d7ff1d6b7420c19413f8200b1104db3	data/normalized_yaml/algae/1_2_Enriched_Seawater.yaml	1_2_enriched_seawater	ACTIVE			1
CultureMech:000004	sha256:7352229c0b637804d7a5c95c89e989e1fe48ecf98228ecd454058c3523c3648e	data/normalized_yaml/algae/1_2_Erdschreiber_Medium.yaml	1_2_erdschreiber_medium	ACTIVE			1
CultureMech:000005	sha256:db8b7c1154e776d376ec6c7d00bb8ec9951c33869c26eb020a08abbbc885794c	data/normalized_yaml/algae/1_2_soil_seawater_medium.yaml	1_2_soil_seawater_medium	ACTIVE			1
CultureMech:000006	sha256:c9d4542e6ca57e3ab379f0eab7944f845880dc2afb8446932cda565a70676535	data/normalized_yaml/algae/1_3_CHEV_Diatom_Medium.yaml	1_3_chev_diatom_medium	ACTIVE			1
CultureMech:000007	sha256:e64a30cccf6d5a7da3c9669536664e1965eaaeeb8a5deee7a3121c7e8aab73f7	data/normalized_yaml/algae/1_3_soil_seawater_medium.yaml	1_3_soil_seawater_medium	ACTIVE			1
CultureMech:000008	sha256:f340c13a21c4de4397966142b1d5969c605a3010c6174686ae4feba6169866e5	data/normalized_yaml/algae/1_4_erdschreibers_medium.yaml	1_4_erdschreibers_medium	ACTIVE			1
CultureMech:000009	sha256:a90205ff6289e9ba9ef9b7415ebee55a909959ca7d7bfd16f3c83fe4627a1f4b	data/normalized_yaml/algae/1_4_soil_seawater_medium.yaml	1_4_soil_seawater_medium	ACTIVE			1
CultureMech:000010	sha256:35c35e92a231b316738123ed68929bcf858b8dd3c5f8469b4456261ead69b9a3	data/normalized_yaml/algae/1_5_CHEV_Diatom_Medium.yaml	1_5_chev_diatom_medium	ACTIVE			1
CultureMech:000011	sha256:a2ea2c39b20b75599dd7927c8c80eb36079f8c6ce6b7f4b1ba0597519ffe50c4	data/normalized_yaml/algae/1_5_soil_seawater_medium.yaml	1_5_soil_seawater_medium	ACTIVE			1
CultureMech:000012	sha256:4a9eea0371511587b39cdc5e97090f6b6e53003db670f53f8dd37fdb50b7ec72	data/normalized_yaml/algae/1_F_2_Medium.yaml	1_f_2_medium	ACTIVE			1
CultureMech:000013	sha256:fd0c6500b084280b66d75eeebd5a482b6b438ebbff44347d676a24e907e40855	data/normalized_yaml/algae/20_allen_80_erdschreiber_1_4_medium.yaml	20_allen_80_erdschreiber_1_4_medium	ACTIVE			1
CultureMech:000014	sha256:3a5fbcf17fdc441f7d09314d1b02ac4c7f0563bc15deae563fb53460b3bfe584	data/normalized_yaml/algae/2X_CHEV_Diatom_Medium.yaml	2x_chev_diatom_medium	ACTIVE			1
CultureMech:000015	sha256:d35e499862cb753a77aebada738b7fc3068e4b7210503618c8e411ab17834b7e	data/normalized_yaml/algae/2x_erdschreibers_medium.yaml	2x_erdschreibers_medium	ACTIVE			1
CultureMech:000016	sha256:9833a293884a698b9c973febc4f8a328a175b217c99ce8527c80d52d269a4f91	data/normalized_yaml/algae/2x_soil_seawater_medium.yaml	2x_soil_seawater_medium	ACTIVE			1
CultureMech:000017	sha256:b7a562385223ddf629c7d76b9bfcf5afea73d503906bcc6a8f99d7884f8d4e06	data/normalized_yaml/algae/2_3_CHEV_Diatom_Medium.yaml	2_3_chev_diatom_medium	ACTIVE			1
CultureMech:000018	sha256:98ed702a78efe2ae2e2b3b663ad5d05ea7feeef9910f7813ea812eef238b0e72	data/normalized_yaml/algae/2_3_Enriched_Seawater.yaml	2_3_enriched_seawater	ACTIVE			1
